Regency,2014,2015,2016
Simeulue,112.83,97.66,98.24
Aceh Singkil,106.38,97.94,92.44
Aceh Selatan,89.93,90.89,93.85
Aceh Tenggara,91.98,90.83,95.87
Aceh Timur,101.12,91.37,96
Aceh Tengah,103.33,87.22,95.85
Aceh Barat,100.28,87.42,96.02
Aceh Besar,91,78.59,91.54
Pidie,92.18,86.78,91.86
Bireuen,101.25,89.49,99.56
Aceh Utara,108.34,98.72,104.28
Aceh Barat Daya,96.46,93.4,89.16
Gayo Lues,89.12,98,97.51
Aceh Tamiang,96.75,90.98,86.9
Nagan Raya,119.46,100.3,95.24
Aceh Jaya,98.82,89.47,90.5
Bener Meriah,99.66,97.17,94.6
Pidie Jaya,93.21,82.87,87.69
Kota Banda Aceh,102.26,94.97,94.57
Kota Sabang,99.3,96.8,96.14
Kota Langsa,93.06,93.65,96.25
Kota Lhokseumawe,105.71,102.32,101.12
Kota Subulussalam,75.83,88.11,92.79
Nias,89.54,102.63,109.31
Mandailing Natal,101.02,91.54,102.62
Tapanuli Selatan,111.97,97.88,105.56
Tapanuli Tengah,87.3,98.08,96.56
Tapanuli Utara,101.53,97.47,94.48
Toba Samosir,114.86,97.66,101.53
Labuhan Batu,89.73,96.68,99.99
Asahan,100.54,88.76,100.5
Simalungun,91.34,99.81,104.89
Dairi,80.47,100.44,105.97
Karo,95.36,99.39,104.2
Deli Serdang,103.36,99.18,105.99
Langkat,82.9,89.63,93.93
Nias Selatan,107.24,108.96,103.49
Humbang Hasundutan,107.86,90.22,94.3
Pakpak Bharat,112.23,95.45,97
Samosir,122.79,103.39,109.53
Serdang Bedagai,99.28,88.23,98.69
Batu Bara,100.85,90.26,95.68
Padang Lawas Utara,81.16,100.32,100.83
Padang Lawas,80.99,100.13,108.43
Labuhan Batu Selatan,116.96,97.63,92.84
Labuhan Batu Utara,98.72,91.6,99.81
Nias Utara,113.49,108.39,104.93
Nias Barat,98.35,108.03,107.77
Kota Sibolga,103.63,103.39,93.24
Kota Tanjung Balai,102.22,87.96,99.44
Kota Pematang Siantar,89.5,101.08,107.37
Kota Tebing Tinggi,97.22,85.57,98.19
Kota Medan,87.26,90.16,98.69
Kota Binjai,100.17,92.55,92.05
Kota Padangsidimpuan,109.99,90.44,97.9
Kota Gunungsitoli,99.79,106.47,103.31
Kepulauan Mentawai,181.95,162.9,148.28
Pesisir Selatan,95.86,99.21,94.5
Solok,92.31,94.71,93.65
Sijunjung,101.48,92.82,94.99
Tanah Datar,95.3,90.43,95.27
Padang Pariaman,100.4,91.18,93.92
Agam,99.6,91.44,97.63
Lima Puluh Kota,98.96,87.74,97.33
Pasaman,96.07,88.22,89.09
Solok Selatan,95.25,101.97,96.61
Dharmasraya,96.78,91.44,96.92
Pasaman Barat,99.08,101.29,104.34
Kota Padang,100.68,97.27,97.9
Kota Solok,96.45,101.51,97.75
Kota Sawah Lunto,91.55,95.42,96.62
Kota Padang Panjang,97.16,98.01,94.28
Kota Bukittinggi,99.05,94.04,94.93
Kota Payakumbuh,99.08,88.33,89.76
Kota Pariaman,89.96,96.78,96.83
Kuantan Singingi,96,94.34,90.03
Indragiri Hulu,106.77,99.39,101.01
Indragiri Hilir,106.62,104.3,96.63
Pelalawan,101.76,93.73,95.41
Siak,116.54,107.99,107.11
Kampar,99.44,89.93,93.72
Rokan Hulu,99.41,93.16,88.58
Bengkalis,125.07,105.4,98.74
Rokan Hilir,118.35,104.22,102.41
Kepulauan Meranti,123.09,106.73,105.53
Kota Pekanbaru,109.63,90.08,89.57
Kota Dumai,98.82,101.59,104.15
Kerinci,94.02,89.68,87.64
Merangin,90.86,91.98,95.31
Sarolangun,96.05,90.47,96.7
Batang Hari,89.78,87.51,88.84
Muaro Jambi,84.71,89.72,89.64
Tanjung Jabung Timur,98.88,99.57,98.6
Tanjung Jabung Barat,118.56,100.28,98.06
Tebo,92.79,89.06,93.89
Bungo,97.64,92.75,92.72
Kota Jambi,98.95,90.11,90.96
Kota Sungai Penuh,89.03,83.05,86.35
Ogan Komering Ulu,95.07,98.29,97.06
Ogan Komering Ilir,98.19,88.21,91.49
Muara Enim,100.11,98.47,95.34
Lahat,97.93,98.35,103.01
Musi Rawas,108.33,101.88,103.31
Musi Banyuasin,113.29,99.11,99.8
Banyu Asin,107.21,109.11,102.41
Ogan Komering Ulu Selatan,94.55,88.09,87.19
Ogan Komering Ulu Timur,93.68,94.62,101.49
Ogan Ilir,107.79,99.56,104.95
Empat Lawang,103.8,98.64,103.68
Penukal Abab Lematang Ilir,113.62,103.76,103.32
Musi Rawas Utara,114.71,107.55,102.71
Kota Palembang,104.34,99.08,99.75
Kota Prabumulih,105.62,99.09,103.31
Kota Pagar Alam,109.26,102.32,99.13
Kota Lubuklinggau,99.73,102.29,107.6
Bengkulu Selatan,97.89,96.86,93.54
Rejang Lebong,94.64,94.59,99.26
Bengkulu Utara,96.76,95.4,94.19
Kaur,103.32,94.35,93.1
Seluma,102.14,93.35,94.4
Mukomuko,112.53,103.05,104.06
Lebong,98.58,97.12,96.77
Kepahiang,103.55,93.56,91.06
Bengkulu Tengah,102.43,95.1,95.77
Kota Bengkulu,99.45,95.83,99.61
Lampung Barat,104.51,90.61,100.42
Tanggamus,97.1,105.54,94.93
Lampung Selatan,94.57,90.47,90
Lampung Timur,93.84,87.16,88.63
Lampung Tengah,93.56,88.31,89.5
Lampung Utara,90.5,88.88,91.82
Way Kanan,95.61,88.74,94.66
Tulangbawang,98.64,100.64,97.38
Pesawaran,91.62,88.04,89.46
Pringsewu,87.68,98.37,91.47
Mesuji,114.66,97.11,101.01
Tulang Bawang Barat,105.94,93.08,102.44
Pesisir Barat,88.84,95.27,100.23
Kota Bandar Lampung,98.71,83.67,88.18
Kota Metro,94.65,87.48,89.96
Bangka,103.16,103.62,104.78
Belitung,109.1,90.74,94.78
Bangka Barat,109.26,99.19,106.29
Bangka Tengah,108.47,102.44,103.43
Bangka Selatan,110.43,102.54,105.22
Belitung Timur,107.19,95.75,94.15
Kota Pangkal Pinang,103,99.1,104.07
Karimun,94.81,105.01,113.05
Bintan,103,118.16,118.1
Natuna,129.27,130.63,143.63
Lingga,112.54,102.39,91.87
Kepulauan Anambas,142,160.49,154.26
Kota Batam,110.46,98.79,111.98
Kota Tanjung Pinang,97.13,103.65,110.8
Kep. Seribu,-,-,133.29
Kota Jakarta Selatan,-,-,126.19
Kota Jakarta Timur,-,-,122.83
Kota Jakarta Pusat,-,-,120.03
Kota Jakarta Barat,-,-,119.31
Kota Jakarta Utara,-,-,119.92
Bogor,103.85,107.62,109.9
Sukabumi,90.37,89.92,96.53
Cianjur,75.6,92.07,99.82
Bandung,111.41,101.71,108.96
Garut,86.1,91.06,102.51
Tasikmalaya,92.15,95.99,99.94
Ciamis,97.12,85.76,94.97
Kuningan,88.43,85.15,93.51
Cirebon,88.14,98.27,98.76
Majalengka,84.24,88.74,100.69
Sumedang,87.31,87.29,97.64
Indramayu,92.36,95.74,97.7
Subang,93.52,107.73,101.52
Purwakarta,86.97,95.81,107.6
Karawang,100.79,100.7,105.88
Bekasi,105.79,99.15,106.85
Bandung Barat,90.3,102.16,97.98
Pangandaran,105.46,88.85,95.03
Kota Bogor,93.99,96.03,102.58
Kota Sukabumi,84.63,87.75,100.57
Kota Bandung,91.99,99.89,108.05
Kota Cirebon,89.78,88.94,90.29
Kota Bekasi,101.67,107.61,103.45
Kota Depok,100.02,104.87,111.13
Kota Cimahi,87.72,102.49,103.59
Kota Tasikmalaya,87.21,89.77,94.18
Kota Banjar,88.32,90.81,95.01
Cilacap,90.27,82.47,94.13
Banyumas,82.2,84.54,89.64
Purbalingga,78.16,94.51,95.82
Banjarnegara,83.35,98.07,97.89
Kebumen,84.78,88.08,89.29
Purworejo,84.83,82.92,95.54
Wonosobo,87.74,92.27,95.26
Magelang,81,79.51,91.96
Boyolali,87.05,87.58,97.14
Klaten,85.01,87.36,94.69
Sukoharjo,88.5,93.12,100.19
Wonogiri,83.83,87.1,97.81
Karanganyar,74.74,94.09,99.63
Sragen,92.62,98.2,99.94
Grobogan,91.76,93.22,98.91
Blora,88.87,92.48,94.13
Rembang,98.36,97.57,101.02
Pati,94.1,100.7,100.73
Kudus,88.62,93.69,92.86
Jepara,98.27,92.57,93.47
Demak,91.96,97.82,98.86
Semarang,91.74,91.93,99.42
Temanggung,88.18,88.86,99.05
Kendal,85.92,93.27,98.9
Batang,78.43,85.6,94.14
Pekalongan,90.02,85.68,93.52
Pemalang,89.99,92.57,98.04
Tegal,80.92,83.35,95.65
Brebes,91.17,88.83,96.39
Kota Magelang,88.37,84.94,94.58
Kota Surakarta,87.05,95.32,99.2
Kota Salatiga,91.41,91.35,95.44
Kota Semarang,91.85,90.43,97.93
Kota Pekalongan,85.79,89.33,98.23
Kota Tegal,79.11,95.22,99.8
Kulon Progo,81.23,90.41,94.14
Bantul,84.67,91.6,96.52
Gunung Kidul,88.42,101.53,97.1
Sleman,80.04,86.99,93.7
Kota Yogyakarta,84.79,97.47,93.81
Pacitan,74.69,89.05,96.86
Ponorogo,96.65,88.22,99.47
Trenggalek,96.06,94.75,100.47
Tulungagung,95.11,92.2,93.89
Blitar,82.34,80.99,93.56
Kediri,94.47,86.94,95.14
Malang,97.89,95.28,99.79
Lumajang,85.47,89.35,98.2
Jember,78.34,88.9,94.97
Banyuwangi,74.45,89.07,95.38
Bondowoso,84.99,95.16,93.46
Situbondo,93.6,96.67,92.36
Probolinggo,86.19,87.96,96.53
Pasuruan,79.49,98.77,97.19
Sidoarjo,91.6,99.52,102.54
Mojokerto,91.3,95.83,96.37
Jombang,99.16,89.37,96.61
Nganjuk,94.29,90.7,95.54
Madiun,95.73,93.15,98.15
Magetan,98.91,93.78,101.35
Ngawi,98.71,98.34,102.13
Bojonegoro,102.05,98.76,95.98
Tuban,85.25,95.67,95.41
Lamongan,97.72,99.55,102.75
Gresik,101.7,99.65,98.8
Bangkalan,95.25,107.17,102.46
