Regency,2014,2015,2016
Sampang,95.41,99.16,104.2
Pamekasan,101.29,103.59,102.57
Sumenep,96.83,98.88,107.78
Kota Kediri,100.28,95.7,96.14
Kota Blitar,95.77,94.73,97.31
Kota Malang,93.12,97.54,100.64
Kota Probolinggo,87.66,87.48,93.59
Kota Pasuruan,84.87,97.35,93.05
Kota Mojokerto,95.49,93.59,92.82
Kota Madiun,98.48,98.23,100.77
Kota Surabaya,95.14,100,100
Kota Batu,92.1,89.55,98.61
Pandeglang,87.67,90.9,93.57
Lebak,87.87,92.01,90.38
Tangerang,93.64,102.89,109.05
Serang,90.49,95.78,99.31
Kota Tangerang,98.21,102.48,112.04
Kota Cilegon,98.42,91.39,93.79
Kota Serang,92.66,89.61,92.87
Kota Tangerang Selatan,101.2,104.81,109.52
Jembrana,88.37,107.02,113.47
Tabanan,101.06,105.69,111.79
Badung,91.82,106.08,111.09
Gianyar,81.63,98.73,105.32
Klungkung,83.3,99.65,106.3
Bangli,87.26,102.84,110.07
Karangasem,87.75,104.63,109.98
Buleleng,98.86,106.99,113.74
Kota Denpasar,96.16,103.59,110.11
Lombok Barat,80.51,85.38,91.05
Lombok Tengah,80.87,87.92,85.06
Lombok Timur,92.62,82.7,85.39
Sumbawa,79.17,87.68,87.37
Dompu,83.92,85.95,92.07
Bima,85.88,87.53,89.6
Sumbawa Barat,91.96,89.82,92.37
Lombok Utara,71.64,79.22,81.59
Kota Mataram,102.44,92.31,91.11
Kota Bima,85.26,88.31,90.15
Sumba Barat,91.86,89.46,98.55
Sumba Timur,87.59,92.06,95.64
Kupang,88.23,83.79,85.95
Timor Tengah Selatan,87.92,89.87,95.68
Timor Tengah Utara,87.37,83.76,89.31
Belu,86.37,88.82,89.79
Alor,102.21,98.79,108.35
Lembata,93.53,96.96,95.9
Flores Timur,104.21,100.29,99.33
Sikka,90.49,89.7,92.51
Ende,84.62,85.86,95.47
Ngada,88.68,95.9,97.27
Manggarai,108.48,97.33,97.92
Rote Ndao,93.95,100.91,102.49
Manggarai Barat,97.24,88.87,95.82
Sumba Tengah,88.99,90.07,98.79
Sumba Barat Daya,96.4,91.15,98.29
Nagekeo,93.4,94.34,99.77
Manggarai Timur,83.32,88.48,97.94
Sabu Raijua,119.8,105.94,111.59
Malaka,90.22,90.28,94.3
Kota Kupang,106.65,86.77,86.91
Sambas,98.43,116.69,116.96
Bengkayang,106.71,110.28,110.78
Landak,105.54,105.64,111.38
Mempawah,99.89,106,114.2
Sanggau,112.59,109.15,114.54
Ketapang,166.78,129.29,116.72
Sintang,129.52,110.15,101.34
Kapuas Hulu,124.66,119.56,122.15
Sekadau,105.68,106.68,109.66
Melawi,165.78,127.85,115.41
Kayong Utara,108.55,104.58,109.87
Kubu Raya,132.17,112.94,109.99
Kota Pontianak,118.69,108.19,101.14
Kota Singkawang,113.18,106.6,104.52
Kotawaringin Barat,102.63,104.14,95.64
Kotawaringin Timur,112.1,104.2,103.86
Kapuas,101.33,98.72,94.64
Barito Selatan,112.69,98.17,100.2
Barito Utara,105.23,110.14,97.75
Sukamara,132.47,113.34,105.93
Lamandau,106.48,98.74,99.15
Seruyan,97.29,99.22,96.3
Katingan,106.83,110.21,99.73
Pulang Pisau,108.27,103.11,101.69
Gunung Mas,115.32,98.25,104.5
Barito Timur,116.32,100.22,99.8
Murung Raya,97.49,116.52,111.63
Kota Palangka Raya,107.65,113.62,99.83
Tanah Laut,98.07,96.75,94.11
Kota Baru,108.05,100.61,95.82
Banjar,94.71,90.55,88.97
Barito Kuala,96.19,95.37,97.97
Tapin,102.87,93.51,95.06
Hulu Sungai Selatan,100.5,99.72,100.25
Hulu Sungai Tengah,101.95,99.84,99.97
Hulu Sungai Utara,105.34,96.76,102.2
Tabalong,119,99.84,98.3
Tanah Bumbu,109.22,94.85,99.28
Balangan,111.51,101.57,100.64
Kota Banjarmasin,109.16,94.77,99.03
Kota Banjar Baru,99.85,98.76,99.63
Paser,99.94,105.77,108.46
Kutai Barat,113.75,114.81,105.43
Kutai Kartanegara,135.09,115.84,105.94
Kutai Timur,109.42,116.63,111.16
Berau,103.48,105.1,102.24
Penajam Paser Utara,103.43,108.38,106.61
Mahakam Ulu,116.54,117.96,132.46
Kota Balikpapan,118.61,109.78,110.27
Kota Samarinda,100,113.36,115.87
Kota Bontang,114.62,116.57,112.86
Malinau,125.99,120.22,113.74
Bulungan,122.13,128.17,116.57
Tana Tidung,188.29,168.37,154.97
Nunukan,94.2,104.02,113.84
Kota Tarakan,114.61,101.11,109.34
Bolaang Mongondow,108.98,96.88,104.12
Minahasa,101.63,104,105.35
Kepulauan Sangihe,131.74,112.3,111.99
Kepulauan Talaud,133.39,129.45,118.57
Minahasa Selatan,106.48,97.64,101.17
Minahasa Utara,92.02,97.63,102.89
Bolaang Mongondow Utara,105.29,105.6,101.78
Siau Tagulandang Biaro,117.26,107.46,111.75
Minahasa Tenggara,110.78,104.88,99.9
Bolaang Mongondow Selatan,103.66,102.84,98.74
Bolaang Mongondow Timur,112.72,100.68,103.46
Kota Manado,103.34,102.24,97.82
Kota Bitung,91.27,102.03,108.46
Kota Tomohon,91.44,101.8,111.03
Kota Kotamobagu,108.03,103.68,105.63
Banggai Kepulauan,96.31,90.41,102.63
Banggai,93.92,88.96,94.06
Morowali,96.49,94.33,99.47
Poso,91.17,89.01,87.94
Donggala,84.57,77.59,81.1
Toli-Toli,89.36,86.92,96.92
Buol,87.57,88.24,98.19
Parigi Moutong,91.25,80.54,87.1
Tojo Una-Una,101.32,89.61,98.94
Sigi,88.93,83.58,83.99
Banggai Laut,94.78,92.61,105.39
Morowali Utara,98.64,95.24,96.21
Kota Palu,90.76,79.55,87.7
Kepulauan Selayar,95.31,92.42,92.41
Bulukumba,101.22,92.66,91.33
Bantaeng,90.82,87.73,95.83
Jeneponto,84.49,89.88,98.83
Takalar,94.38,90.96,91.29
Gowa,94.49,89.83,91.44
Sinjai,88.15,91.75,101.67
Maros,94.64,84.66,92.39
Pangkajene dan Kepulauan,101.32,88.54,92
Barru,99.7,83.42,88.96
Bone,98.4,90.79,95.85
Soppeng,94.57,89.7,94.08
Wajo,95.2,90.46,96.44
Sidenreng Rappang,86.93,88.81,96.87
Pinrang,85.68,87.43,97.23
Enrekang,97.79,92.81,99.37
Luwu,102.63,90.75,97.28
Tana Toraja,105.16,100.64,105.35
Luwu Utara,92.58,91.87,97.67
Luwu Timur,99.4,96.4,101.54
Toraja Utara,104.55,102.94,104.54
Kota Makasar,93.91,88.81,97.89
Kota Parepare,92.94,84.11,92.86
Kota Palopo,87.3,97.56,102.28
Buton,121.19,101.79,101.91
Muna,103.88,98.63,101.81
Konawe,100.57,94.22,95.25
Kolaka,105.5,92.72,93.21
Konawe Selatan,98.51,95.72,96.33
Bombana,102.88,96.29,101.51
Wakatobi,113.6,108.49,111.65
Kolaka Utara,115.28,97.22,102.53
Buton Utara,115.59,108.27,112.53
Konawe Utara,108.14,101.38,98.06
Kolaka Timur,109.33,92.53,89.94
Konawe Kepulauan,128.31,108.7,103.01
Muna Barat,-,103.09,107.2
Buton Tengah,-,95.97,105.55
Buton Selatan,-,101.89,111.22
Kota Kendari,101.74,100.01,97.76
Kota Baubau,108.34,102.92,107.79
Boalemo,106.24,98.26,96.01
Gorontalo,93.24,97.32,95.37
Pohuwato,101.95,95.01,95.85
Bone Bolango,93.25,101.2,97.06
Gorontalo Utara,101.14,99.16,97.98
Kota Gorontalo,94.73,92.59,94.57
Majene,101.82,82.9,89.61
Polewali Mandar,82.93,89.19,90.76
Mamasa,113.94,110.27,102.27
Mamuju,100.88,88.13,91.52
Mamuju Utara,97.26,95.5,92.44
Mamuju Tengah,102.95,93.6,90.85
Maluku Tenggara Barat,129.2,115.59,117.31
Maluku Tenggara,121.8,115.92,121.27
Maluku Tengah,108.96,106.68,109.24
Buru,86.89,96.47,111.45
Kepulauan Aru,119.08,109.8,112.65
Seram Bagian Barat,102.2,105.08,111.43
Seram Bagian Timur,111.39,107.5,110.65
Maluku Barat Daya,156.21,142.12,135.99
Buru Selatan,134.85,115.2,124.27
Kota Ambon,87.53,105.86,110.22
Kota Tual,144.79,125.57,129.16
Halmahera Barat,116.2,115.49,124.06
Halmahera Tengah,136.09,120.04,126.31
Kepulauan Sula,138.85,121.42,128.94
Halmahera Selatan,92.32,111.54,111.3
Halmahera Utara,121.75,116.3,119.53
Halmahera Timur,119.28,121.14,128.18
Pulau Morotai,121.45,119.11,109.9
Pulau Taliabu,141.4,123.13,129.23
Kota Ternate,126.94,119.23,127.35
Kota Tidore Kepulauan,131.61,119.68,128.11
Fakfak,175.77,155.99,144.09
Kaimana,151.52,131.72,131.29
Teluk Wondama,118.88,123.84,133.24
Teluk Bintuni,147.42,128.17,138.91
Manokwari,116.6,116.71,123.66
Manokwari Selatan,138.21,131.58,134.53
Pegunungan Arfak,199.63,189.75,203.96
Raja Ampat,169.66,150.35,138.52
Sorong,115.63,113.83,119.68
Sorong Selatan,126.09,120.9,121.55
Maybrat,178.33,158.8,146.6
Tambrauw,198.63,189.1,175.04
Kota Sorong,113.99,108.86,109.21
Jayapura,144.52,131.25,128.93
Kepulauan Yapen,158.31,145.03,144.48
Biak Numfor,153.17,167.96,153
Sarmi,242.6,219.74,200.31
Keerom,176.76,170.34,157.21
Waropen,152.1,166.4,154.47
Supiori,185.87,176.18,160.77
Mamberamo Raya,187.03,194.18,182.07
Kota Jayapura,172.8,158.69,150.07
Merauke,247.59,195.66,179.69
Boven Digoel,180.93,196.67,181.24
Mappi,219.06,204.81,190.36
Asmat,226.59,207.3,220.75
Mimika,193.34,173.41,156.16
Dogiyai,235.19,220.72,204.28
Deiyai,222.61,221.29,218.81
Nabire,164.59,148.86,152
Paniai,214.95,227.34,215.29
Intan Jaya,431.26,424.02,397.57
Puncak,462.84,449.72,454.67
Puncak Jaya,413.38,409.55,423.41
Nduga,321.3,342.18,326.15
Jayawijaya,254.25,269.2,282.04
Lanny Jaya,357.07,337.46,325.43
Tolikara,385.95,366.04,351.04
Mamberamo Tengah,399.62,379.92,392.84
Yalimo,388.65,369.21,352.28
Yahukimo,197.53,216.76,229.55
Pegunungan Bintang,386.29,367.19,379.97
