Regency,2017,2018,2019
Simeulue,105.87,110.93,107.67
Aceh Singkil,92.93,101.81,102.56
Aceh Selatan,96.97,96.95,95.81
Aceh Tenggara,97.33,96.16,97.98
Aceh Timur,98.98,103,99.16
Aceh Tengah,102.64,98.93,101.46
Aceh Barat,96.89,99.66,94.78
Aceh Besar,96.05,103.36,97.35
Pidie,94.1,102.19,97.82
Bireuen,100.49,103.74,102.72
Aceh Utara,101.12,104.23,99.11
Aceh Barat Daya,94.53,93.54,93.6
Gayo Lues,91.57,93.26,96.52
Aceh Tamiang,85.03,94.95,94.94
Nagan Raya,96.79,94.3,91.76
Aceh Jaya,95.88,100.64,97.81
Bener Meriah,99.16,98.79,97.12
Pidie Jaya,87.63,100.47,92.81
Kota Banda Aceh,95.52,102.26,103.99
Kota Sabang,103.76,115.25,113.55
Kota Langsa,94.97,97.51,98.72
Kota Lhokseumawe,97.44,100.78,101.88
Kota Subulussalam,94.31,99.11,93.31
Nias,111.29,107.91,114.17
Mandailing Natal,101.85,102.03,100.55
Tapanuli Selatan,106.52,101.4,104.88
Tapanuli Tengah,99.94,95.97,100.3
Tapanuli Utara,103.34,101.1,105.39
Toba Samosir,99.98,104.05,102.28
Labuhan Batu,96.02,99.45,106.74
Asahan,103.05,95.45,94.53
Simalungun,106.03,106.46,98.6
Dairi,105.5,107.06,105.39
Karo,103.84,105.59,102.5
Deli Serdang,99.91,96.4,101.01
Langkat,85.62,89.99,98.74
Nias Selatan,106.89,101.82,114.34
Humbang Hasundutan,98.25,95.88,99.74
Pakpak Bharat,98.14,105.55,102.81
Samosir,107.06,107.69,105.8
Serdang Bedagai,99.74,102.66,99.21
Batu Bara,102.49,101.29,97.63
Padang Lawas Utara,102.18,102.51,104.42
Padang Lawas,106.94,104.28,103.4
Labuhan Batu Selatan,95.87,104,107.71
Labuhan Batu Utara,96.34,96.45,102.17
Nias Utara,104.74,107.23,111.02
Nias Barat,105.34,104.25,109.9
Kota Sibolga,100.45,106.45,108.25
Kota Tanjung Balai,100.26,86.52,94.3
Kota Pematang Siantar,107.17,98.31,91.04
Kota Tebing Tinggi,102.53,97.99,97.37
Kota Medan,103.85,105.75,102.11
Kota Binjai,90.82,95.19,100.63
Kota Padangsidimpuan,101.7,106.65,102.24
Kota Gunungsitoli,99.71,109.99,107.45
Kepulauan Mentawai,138.18,126.21,119.35
Pesisir Selatan,91.23,97.32,90.78
Solok,95.46,101.11,98.35
Sijunjung,92.2,97.67,91.57
Tanah Datar,90.65,101.69,94.62
Padang Pariaman,93.61,95.41,89.26
Agam,95.13,96.61,90.31
Lima Puluh Kota,97.86,97.5,94.18
Pasaman,86.3,94.03,89.73
Solok Selatan,94.34,99.07,91.66
Dharmasraya,93.2,99.5,93.95
Pasaman Barat,94.7,95.87,91.38
Kota Padang,92.73,94.76,89.98
Kota Solok,91.27,97.96,91.6
